comName,State Status,Abundance,Sort as,atlasUrl
Willet (Eastern),,,,
Willet (Western),,,,
Greater Yellowlegs,,,,
Wilson's Phalarope,,Occasional,,
Red-necked Phalarope,,Occasional,,
Red Phalarope,,Pelagic,,
Great Skua,,Rare,,
South Polar Skua,,Accidental,,
Pomarine Jaeger,,Pelagic,,
Parasitic Jaeger,,,,
Long-tailed Jaeger,,Pelagic,,
Dovekie,,Pelagic,,
Common Murre,,Rare,,
Thick-billed Murre,,Rare,,
Razorbill,,,,
Black Guillemot,2,Accidental,,
Ancient Murrelet,2,Accidental,,
Atlantic Puffin,,Pelagic,,
Brown Noddy,2,Accidental,,
Sooty Tern,,Rare,,
Bridled Tern,,Rare,,
Least Tern,,,,https://vabirdatlas.org/species-account/least-tern/
Gull-billed Tern,,,,https://vabirdatlas.org/species-account/gull-billed-tern/
Caspian Tern,,,,https://vabirdatlas.org/species-account/caspian-tern/
Black Tern,,,,
White-winged Tern,,Rare,,
Roseate Tern,,Rare,,
Common Tern,,,,https://vabirdatlas.org/species-account/common-tern/
Arctic Tern,,Rare,,
Forster's Tern,,,,https://vabirdatlas.org/species-account/forsters-tern/
Royal Tern,,,,https://vabirdatlas.org/species-account/royal-tern/
Sandwich Tern,,,,https://vabirdatlas.org/species-account/sandwich-tern/
Elegant Tern,,Accidental,,
Black Skimmer,,,,https://vabirdatlas.org/species-account/black-skimmer/
Black-legged Kittiwake,,Pelagic,,
Sabine's Gull,,Rare,,
Bonaparte's Gull,,,,
Black-headed Gull,,Occasional,,
Little Gull,,Rare,,
Laughing Gull,,,,https://vabirdatlas.org/species-account/laughing-gull/
Franklin's Gull,,Rare,,
Black-tailed Gull,,Accidental,,
Heermann's Gull,,Accidental,,
Common Gull,,Accidental,,
Ring-billed Gull,,,,
Vega Gull,,Accidental,,
California Gull,,Rare,,
American Herring Gull,,,,https://vabirdatlas.org/species-account/american-herring-gull/
Yellow-legged Gull,,Accidental,,
Iceland Gull,,Occasional,,
Iceland Gull (Thayer's),,Rare,,
Iceland Gull (Kumliens's),,Occasional,,
Lesser Black-backed Gull,,,,
Glaucous Gull,,Occasional,,
Great Black-backed Gull,,,,https://vabirdatlas.org/species-account/great-black-backed-gull/
White-tailed Tropicbird,,Accidental,,
Red-billed Tropicbird,2,Accidental,,
Red-throated Loon,,,,
Pacific Loon,,Rare,,
Common Loon,,,,
Atlantic Yellow-nosed Albatross,,Accidental,,
Black-browed Albatross,,Accidental,,
Wilson's Storm-Petrel,,,,
White-faced Storm-Petrel,,Rare,,
European Storm-Petrel,,Accidental,,
Leach's Storm-Petrel,,Pelagic,,
Band-rumped Storm-Petrel,,Rare,,
Northern Fulmar,,Pelagic,,
Trindade Petrel,,Accidental,,
Bermuda Petrel,,Accidental,,
Black-capped Petrel,,Rare,,
Desertas Petrel,2,Accidental,,
Bulwer's Petrel,2,Accidental,,
Cory's Shearwater,,Pelagic,,
Scopoli's Shearwater,,Pelagic,,
Sooty Shearwater,,,,
Great Shearwater,,,,
Manx Shearwater,,Pelagic,,
Sargasso Shearwater,,Pelagic,,
Wood Stork,,Rare,,
Magnificent Frigatebird,,Rare,,
Masked Booby,,Accidental,,
Brown Booby,,Rare,,
Northern Gannet,,,,
Anhinga,,,,https://vabirdatlas.org/species-account/anhinga/
Great Cormorant,,,,
Double-crested Cormorant,,,,https://vabirdatlas.org/species-account/double-crested-cormorant/
Neotropic Cormorant,,Accidental,,
White Ibis,,,,https://vabirdatlas.org/species-account/white-ibis/
Glossy Ibis,,,,https://vabirdatlas.org/species-account/glossy-ibis/
White-faced Ibis,,Rare,,
Roseate Spoonbill,,Rare,,
American White Pelican,,,,
Brown Pelican,,,,https://vabirdatlas.org/species-account/brown-pelican/
Least Bittern,,,,https://vabirdatlas.org/species-account/least-bittern/
American Bittern,,,,https://vabirdatlas.org/species-account/american-bittern/
Little Blue Heron,,,,https://vabirdatlas.org/species-account/little-blue-heron/
Tricolored Heron,,,,https://vabirdatlas.org/species-account/tricolored-heron/
Reddish Egret,,Accidental,,
Snowy Egret,,,,https://vabirdatlas.org/species-account/snowy-egret/
Little Egret,,Accidental,,
Yellow-crowned Night Heron,,,,https://vabirdatlas.org/species-account/yellow-crowned-night-heron/
Black-crowned Night Heron,,,,https://vabirdatlas.org/species-account/black-crowned-night-heron/
Green Heron,,,,https://vabirdatlas.org/species-account/green-heron/
Great Egret,,,,https://vabirdatlas.org/species-account/great-egret/
Western Cattle-Egret,,,,
Gray Heron,,Accidental,,
Great Blue Heron,,,,https://vabirdatlas.org/species-account/great-blue-heron/
Great Blue Heron (White form),,Rare,,
Black Vulture,,,,https://vabirdatlas.org/species-account/black-vulture/
Turkey Vulture,,,,https://vabirdatlas.org/species-account/turkey-vulture/
Osprey,,,,https://vabirdatlas.org/species-account/osprey/
White-tailed Kite,,Accidental,,
Swallow-tailed Kite,,Occasional,,
Golden Eagle,,,,
Sharp-shinned Hawk,,,,https://vabirdatlas.org/species-account/sharp-shinned-hawk/
Cooper's Hawk,,,,https://vabirdatlas.org/species-account/coopers-hawk/
American Goshawk,,Rare,,
Northern Harrier,,,,https://vabirdatlas.org/species-account/northern-harrier/
Western Marsh Harrier,2,Accidental,,
Bald Eagle,,,,https://vabirdatlas.org/species-account/bald-eagle/
Mississippi Kite,,,,https://vabirdatlas.org/species-account/mississippi-kite/
Snail Kite,,Accidental,,
Red-shouldered Hawk,,,,https://vabirdatlas.org/species-account/red-shouldered-hawk/
Broad-winged Hawk,,,,https://vabirdatlas.org/species-account/broad-winged-hawk/
Swainson's Hawk,,Rare,,
Zone-tailed Hawk,,Accidental,,
Red-tailed Hawk,,,,https://vabirdatlas.org/species-account/red-tailed-hawk/
Red-tailed Hawk (Harlan's),,Accidental,,
Rough-legged Hawk,,Occasional,,
Ferruginous Hawk,,Accidental,,
American Barn Owl,,,,https://vabirdatlas.org/species-account/american-barn-owl/
Eastern Screech-Owl,,,,https://vabirdatlas.org/species-account/eastern-screech-owl/
Great Horned Owl,,,,https://vabirdatlas.org/species-account/great-horned-owl/
Snowy Owl,,Rare,,
Burrowing Owl,,Accidental,,
Barred Owl,,,,https://vabirdatlas.org/species-account/barred-owl/
Long-eared Owl,,Rare,,
Short-eared Owl,,,,
Northern Saw-whet Owl,,,,https://vabirdatlas.org/species-account/northern-saw-whet-owl/
Belted Kingfisher,,,,https://vabirdatlas.org/species-account/belted-kingfisher/
Lewis's Woodpecker,,Accidental,,
Red-headed Woodpecker,,,,https://vabirdatlas.org/species-account/red-headed-woodpecker/
Red-bellied Woodpecker,,,,https://vabirdatlas.org/species-account/red-bellied-woodpecker/
Yellow-bellied Sapsucker,,,,https://vabirdatlas.org/species-account/yellow-bellied-sapsucker/
